"idd","avgLL_LN"
979,-12.3673643104716
980,-15.3918572736859
981,-9.6310133775053
982,-11.4469826512615
983,-10.3046958052099
984,-11.1670667528709
985,-8.98784462738566
986,-7.96772496412062
987,-11.9553292100983
988,-14.4218849695238
989,-10.6947448641547
990,-13.7703713441539
991,-7.29900527483196
992,-9.19664793691372
993,-13.0260689074504
994,-9.81365692817351
995,-9.26837769669373
996,-7.4921519553239
997,-11.832794588181
998,-9.05954921789843
999,-13.6877783653642
1000,-10.5771796932244
