"idd","avgLL_NLN"
777,-14.8487871543222
778,-14.7479619261129
779,-6.82646258305642
780,-6.03939629010592
781,-12.4414585292875
782,-10.4304398910655
783,-9.52526415726654
784,-14.9278003401534
785,-6.24831024231317
786,-12.3453406827705
787,-10.2426599878148
788,-8.81428330896577
789,-9.76128656638544
790,-8.85052067643234
791,-9.52208857799351
792,-13.5076178999088
793,-7.76996348230203
794,-10.6230391242873
795,-10.0722522793017
796,-7.01275630187508
797,-8.08877131831353
798,-7.6306733014189
799,-15.200462985814
800,-7.5566486553673
801,-12.0692162006582
802,-12.8650317615015
803,-7.57739212620566
804,-13.842566761116
805,-10.1391972229837
806,-12.3557462775345
807,-7.04015405672388
808,-10.4862360722058
809,-9.52401781409049
810,-5.48805635724866
811,-8.78204703534562
812,-12.7605201071186
813,-12.769703480473
814,-10.1925927673126
815,-12.139318679181
816,-8.50389176433377
817,-9.70619200702327
818,-11.668147583631
819,-6.4141510012839
820,-11.9869403609012
821,-9.03731346088704
822,-11.870536347934
823,-11.7782512113654
824,-8.43039918239954
825,-10.7521332802349
826,-15.0524053317686
827,-8.46839660665847
828,-12.1318255473983
829,-13.944242675178
830,-10.103871151462
831,-8.43901853435108
832,-7.71790002007035
833,-9.71955274315596
834,-9.49712082866162
835,-14.1719677423762
836,-12.3130485820738
837,-6.53686613391709
838,-12.7115981908093
839,-11.9949562386861
840,-11.8855587601413
841,-9.1232896797013
842,-9.50010879177295
843,-11.7363883850056
844,-9.81946770172483
845,-10.127954993024
846,-10.3046614887894
847,-9.48194722317488
848,-7.80012771977357
849,-13.514466120653
850,-8.03569532366375
851,-6.60755095231284
852,-10.9583066895758
853,-14.8054220394488
854,-8.46512784378871
855,-9.15484047638215
856,-12.9327658443114
857,-8.42845149610801
858,-8.9387707160178
859,-11.6218567551677
860,-7.23955049917032
861,-12.0836790414251
862,-9.03551942304846
863,-13.7132514741335
864,-11.336950186175
865,-13.0028984850911
866,-6.17937314840508
867,-8.30504664608311
868,-11.6277702832197
869,-13.6671164922217
870,-16.3407089433283
871,-10.9091415049176
872,-11.7028373234848
873,-11.344355109432
874,-17.8459586425547
875,-8.0828569786678
876,-8.38560731934073
877,-7.24821118988659
878,-15.1476643944908
879,-8.1939275733891
880,-7.38750389575873
881,-8.40957144610194
882,-14.1972428676924
883,-13.3726324048832
884,-9.69599789445104
885,-7.9944134471703
886,-8.61900562367221
887,-12.8233549106463
888,-7.87499737173118
889,-12.6403462137484
890,-7.62876342885176
891,-5.87053138609972
892,-11.122947337235
893,-11.8108093149704
894,-9.32248867741803
895,-7.3266226674662
896,-9.10513037048308
897,-10.0410890943263
898,-11.2443142988747
899,-10.4159701363757
900,-11.8652369640014
901,-7.70812642679015
902,-8.32174029538227
903,-6.05584481963666
904,-6.72564598802948
905,-11.6183949919512
906,-13.30128312517
907,-10.8597538308964
908,-7.43379848512546
909,-13.2245093238756
910,-9.11839489418561
911,-6.9436738351011
912,-12.9792151851947
913,-8.12589038719523
914,-13.7959577211685
915,-11.2514328549972
916,-10.8452693713651
917,-10.4028017040033
918,-13.5080803630084
919,-11.0132204912688
920,-12.6678879714966
921,-6.99568564095071
922,-10.5177698483357
923,-9.65075672369285
924,-6.62984572941663
925,-13.7703005609118
926,-9.01482848974731
927,-8.77776640265416
928,-9.75618409596687
929,-8.86741273826886
930,-9.73890302557032
931,-6.97712222265335
932,-6.7855215900614
933,-8.1056006109633
934,-7.89702800445652
935,-5.68064656658846
936,-9.66521003454188
937,-12.8312576072065
938,-7.24980285137883
939,-10.3868202545562
940,-5.7891050267622
941,-10.5587868625503
942,-9.09185024348565
943,-12.6779551703864
944,-13.191960526217
945,-12.5670423404726
946,-10.3461780161139
947,-13.156001965468
948,-8.20395709004457
949,-12.4111624101664
950,-13.6263680385511
951,-9.53568324716846
952,-6.11074128756948
953,-8.76647887249238
954,-8.88844758656475
955,-11.2230110999099
956,-8.67643256284565
957,-7.37500788904365
958,-9.17811663889418
959,-9.89232857839867
960,-11.0524400237357
961,-12.5145255331686
962,-8.55137649667305
963,-11.5024008514937
964,-9.13353361794133
965,-9.0136336391586
966,-7.95907840831515
967,-11.7651467781751
968,-13.0980697876257
969,-7.73769879379218
970,-11.8200001886445
971,-12.1809293060549
972,-11.7586906358493
973,-10.6436571116471
974,-6.42511750151673
975,-10.2284876482647
976,-10.3003508192464
977,-16.3820372326091
978,-8.96904727296751
979,-12.2783421024343
980,-15.6313848608008
981,-9.60145742604326
982,-11.172036035939
983,-9.24867126607184
984,-10.1903299387907
985,-8.36846609825152
986,-8.19848228023417
987,-11.6048129335638
988,-13.7193816406339
989,-9.03610294669083
990,-13.3131256476194
991,-7.00036698818582
992,-7.40448600950986
993,-13.2341342500038
994,-11.0712541378387
995,-8.25200202065305
996,-7.49445896182516
997,-12.3021180390705
998,-9.12492461658447
999,-13.1528807498881
1000,-9.11075844041546
