"idd","avgLL_AT"
786,-11.9746990751513
787,-10.2755176412773
788,-8.9841107219454
789,-9.70756811718289
790,-8.68597286137463
791,-9.26083036445745
792,-13.8223716015781
793,-7.87481646371537
794,-10.2592926359082
795,-9.69569697322942
796,-7.09677534645625
797,-8.21896474318579
798,-7.45366814302274
799,-14.9832647716119
800,-7.6289485523699
801,-12.1132573995669
802,-12.8246352559654
803,-7.52546381596981
804,-14.1930518104913
805,-10.3462291029675
806,-12.5169515709502
807,-7.14072350558222
808,-10.4741486210052
809,-9.35134027457079
810,-5.48881866740106
811,-8.84152852571394
812,-12.7189192102568
813,-12.8753746594584
814,-10.1904184747327
815,-12.551790267013
816,-8.46977959295821
817,-9.92985073728503
818,-11.4376161244167
819,-6.36981273077218
820,-11.7790842303659
821,-8.74914675037985
822,-11.8019034879524
823,-11.8103311280956
824,-8.54175888278509
825,-10.3462465200756
826,-15.2350332065869
827,-8.54489234754094
828,-12.2044880026422
829,-13.9463194363468
830,-10.1709966568201
831,-8.39686708056555
832,-7.83456269572217
833,-9.77755925416854
834,-9.50136504015514
835,-14.2324384802551
836,-12.5552303464547
837,-6.66519894358273
838,-12.5425815556857
839,-11.9571151484021
840,-11.8161044786214
841,-8.67159868249027
842,-8.89499962505403
843,-11.5857197058006
844,-9.66162794999247
845,-10.2236607905016
846,-10.502965958898
847,-9.2339888870142
848,-7.5072460209184
849,-13.621498669765
850,-8.04197824647651
851,-6.71845697496913
852,-10.8041366198886
853,-14.7510518417942
854,-8.40898685021922
855,-8.92101939976106
856,-13.0176192816327
857,-8.41450938864934
858,-9.22002688897806
859,-11.6255898738796
860,-7.03835539225064
861,-12.2596665456829
862,-9.02287020047825
863,-13.7375978788002
864,-11.3144492107426
865,-12.8976638655993
866,-6.18686495527293
867,-8.04956033511366
868,-11.7718892909535
869,-13.3394077466978
870,-16.3066016545489
871,-10.4282559779868
872,-12.0407259731926
873,-11.2447022821735
874,-17.8435463807923
875,-8.0167701096731
876,-8.59160591564893
877,-7.12352460393958
878,-15.2799729665292
879,-7.70146695208413
880,-6.88457665576691
881,-8.48487522933154
882,-14.9254659139746
883,-13.3783601969731
884,-9.46413356877425
885,-8.15528831888725
886,-8.70221852894026
887,-13.1459038391699
888,-7.93069629471688
889,-12.3713662371887
890,-7.43171556111649
891,-5.77114193601982
892,-11.051441240644
893,-12.0047582651564
894,-9.38890049087738
895,-7.01810087510909
896,-9.07453412114062
897,-10.3150504349879
898,-11.0687425198071
899,-10.2212127161349
900,-11.3673429377219
901,-7.81600368587223
902,-8.3924258951481
903,-6.0881542380883
904,-7.07329746953099
905,-12.0709958045182
906,-13.2128388063626
907,-11.0977489324984
908,-7.42273546093129
909,-13.2482067939792
910,-9.10659458776987
911,-7.30221426969773
912,-13.0429917183827
913,-7.96506181871408
914,-13.9442866294422
915,-11.2115751372541
916,-10.9055775447791
917,-9.75221524205895
918,-13.6359418853508
919,-10.9334570298291
920,-12.5085662732561
921,-6.99136568665931
922,-10.5797916495043
923,-9.40990108728601
924,-6.65041201767048
925,-13.1852410741276
926,-8.61455115684701
927,-8.71230269006259
928,-9.93107024622548
929,-8.78083387541348
930,-9.40028573379752
931,-7.07566887975259
932,-6.46616514686489
933,-8.17140980056629
934,-7.9353182692649
935,-5.5281414956054
936,-9.72696405747789
937,-12.7329604958781
938,-6.95460372473547
939,-11.1600008314031
940,-5.83830573494393
941,-10.2703174288714
942,-8.97991926715622
943,-13.0575632042783
944,-13.2823082156786
945,-12.4412384407742
946,-10.5826649655127
947,-13.2601273975832
948,-8.25099340930324
949,-12.1818143347406
950,-13.6345254249998
951,-9.49689275333615
952,-5.98692822853652
953,-8.67656270196586
954,-8.96310829539556
955,-11.306821814065
956,-8.59538322348656
957,-7.05056540423624
958,-9.4084717474605
959,-10.1134831080291
960,-10.8579815348427
961,-12.6892616175127
962,-8.73932925820226
963,-11.5552153830846
964,-9.08137241960104
965,-9.15606709771873
966,-7.87445990021702
967,-11.2925351120308
968,-13.1185357991949
969,-7.45687861259676
970,-11.8667216428429
971,-11.8631187410968
972,-12.2378711452535
973,-10.7709041080091
974,-6.40058091527754
975,-11.3495454533735
976,-10.2023435887724
977,-16.1962002664613
978,-8.94629815367389
979,-12.6873868905122
980,-15.9018760865432
981,-9.30638772530221
982,-11.4116410268654
983,-9.46505595294105
984,-10.3515694679722
985,-8.57030907102808
986,-7.69238383496292
987,-12.1574164676385
988,-13.6327510699671
989,-8.86578541981248
990,-13.3944694317796
991,-6.83401136051416
992,-7.33828685884401
993,-13.4485012529364
994,-11.0480327787267
995,-8.54507892170057
996,-7.37572574972479
997,-12.3520064297996
998,-9.15670254273631
999,-13.2752742102757
1000,-9.04944258824407
